2026-02-28 14:02:47,633 | werkzeug             | INFO     | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
2026-02-28 14:04:09,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:12,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:14,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:17,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:19,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:22,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:24,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:27,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:29,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:32,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:32] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:34,545 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:37,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:39,550 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:42,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:44,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:47,882 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:49,547 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:52,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:54,549 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:57,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:04:59,549 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:04:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:02,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:04,549 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:07,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:09,545 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:12,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:14,545 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:17,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:19,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:22,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:24,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:27,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:29,547 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:32,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:32] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:34,550 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:37,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:39,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:42,876 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:44,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:47,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:49,544 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:52,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:54,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:57,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:05:59,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:05:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:02,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:04,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:07,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:09,551 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:12,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:14,554 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:17,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:19,550 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:22,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:24,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:27,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:29,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:32,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:32] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:34,539 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:37,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:39,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:42,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:44,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:47,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:49,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:52,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:54,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:57,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:06:59,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:06:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:02,878 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:04,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:07,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:09,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:12,888 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:14,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:17,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:19,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:22,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:24,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:27,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:29,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:32,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:32] "GET /api/status HTTP/1.1" 200 -
