2026-02-26 02:52:08,918 | GoogleMapsScraper    | INFO     |   [4/25] Extracting: https://www.google.com/maps/place/Los+Angeles+Immaculate+Detailing+%7C+Ceramic+C…
2026-02-26 02:52:17,829 | GoogleMapsScraper    | INFO     |   [5/25] Extracting: https://www.google.com/maps/place/CarWax+LA+Auto+Detailing/data=!4m7!3m6!1s0x80c…
2026-02-26 02:52:28,066 | GoogleMapsScraper    | INFO     |   [6/25] Extracting: https://www.google.com/maps/place/Detail+Smart/data=!4m7!3m6!1s0x80c2bbd3c7c21fc…
2026-02-26 02:52:38,439 | GoogleMapsScraper    | INFO     |   [7/25] Extracting: https://www.google.com/maps/place/Monkey%27s+Auto+Spa/data=!4m7!3m6!1s0x80c2c7e1…
2026-02-26 02:52:50,541 | GoogleMapsScraper    | INFO     |   [8/25] Extracting: https://www.google.com/maps/place/Car+Wash+%26+Detail+Los+Chavalones/data=!4m7!3…
2026-02-26 02:52:59,963 | GoogleMapsScraper    | INFO     |   [9/25] Extracting: https://www.google.com/maps/place/Auto+Labz+Car+Care+Car+Detailing+Los+Angeles/d…
2026-02-26 02:53:11,300 | GoogleMapsScraper    | INFO     |   [10/25] Extracting: https://www.google.com/maps/place/ECO+Mobile+Detailing/data=!4m7!3m6!1s0x80c2bf7…
2026-02-26 02:53:22,506 | GoogleMapsScraper    | INFO     |   [11/25] Extracting: https://www.google.com/maps/place/Naz+Mobile+Detailing+LA/data=!4m7!3m6!1s0x5765…
2026-02-26 02:53:33,756 | GoogleMapsScraper    | INFO     |   [12/25] Extracting: https://www.google.com/maps/place/Royal1+Mobile+Detailing+Los+Angeles/data=!4m7!…
2026-02-26 02:53:41,396 | GoogleMapsScraper    | INFO     |   [13/25] Extracting: https://www.google.com/maps/place/VI%27s+mobile+detailing/data=!4m7!3m6!1s0xa2be…
2026-02-26 02:53:50,583 | GoogleMapsScraper    | INFO     |   [14/25] Extracting: https://www.google.com/maps/place/JP+Mobile+Auto+Detailing/data=!4m7!3m6!1s0x80c…
2026-02-26 02:54:06,457 | GoogleMapsScraper    | INFO     |   [15/25] Extracting: https://www.google.com/maps/place/Birds+Auto+Detail+and+Ceramic+Coatings/data=!4…
2026-02-26 02:54:17,337 | GoogleMapsScraper    | INFO     |   [16/25] Extracting: https://www.google.com/maps/place/DJ+Auto+Detail/data=!4m7!3m6!1s0x80c2c7d1779dd…
2026-02-26 02:54:25,598 | GoogleMapsScraper    | INFO     |   [17/25] Extracting: https://www.google.com/maps/place/Royal+Detailing+LA/data=!4m7!3m6!1s0x80c2b9c51…
2026-02-26 02:54:35,481 | GoogleMapsScraper    | INFO     |   [18/25] Extracting: https://www.google.com/maps/place/Car+Detailing+in+Los+Angeles+-+Magic+Mike%27s+…
2026-02-26 02:54:45,985 | GoogleMapsScraper    | INFO     |   [19/25] Extracting: https://www.google.com/maps/place/Luxury+Mobile+Detail/data=!4m7!3m6!1s0x80c2b9c…
2026-02-26 02:54:53,749 | GoogleMapsScraper    | INFO     |   [20/25] Extracting: https://www.google.com/maps/place/Pure+Intensions+mobile+car+wash+%26+detail/dat…
2026-02-26 02:55:10,732 | GoogleMapsScraper    | INFO     |   [21/25] Extracting: https://www.google.com/maps/place/California+Golden+Detailers/data=!4m7!3m6!1s0x…
2026-02-26 02:55:22,308 | GoogleMapsScraper    | INFO     |   [22/25] Extracting: https://www.google.com/maps/place/KP+Detail+Car+Detailing+Los+Angeles/data=!4m7!…
2026-02-26 02:55:35,218 | GoogleMapsScraper    | INFO     |   [23/25] Extracting: https://www.google.com/maps/place/Mena+Detail/data=!4m7!3m6!1s0x80c2bf3574859995…
2026-02-26 02:55:45,625 | GoogleMapsScraper    | INFO     |   [24/25] Extracting: https://www.google.com/maps/place/Vermont+Express+Auto+Spa/data=!4m7!3m6!1s0x80c…
2026-02-26 02:55:57,152 | GoogleMapsScraper    | INFO     |   [25/25] Extracting: https://www.google.com/maps/place/Winsome+Automotive/data=!4m7!3m6!1s0x6b733c2ca…
2026-02-26 02:56:08,814 | leadparser.main      | INFO     |   -> 25 raw leads for 'car detailing'; running total: 50
2026-02-26 02:56:08,814 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'mobile car detailing in Los Angeles, CA'
2026-02-26 02:56:31,839 | GoogleMapsScraper    | INFO     | Found 20 listings for 'mobile car detailing'
2026-02-26 02:56:31,839 | GoogleMapsScraper    | INFO     |   [1/20] Extracting: https://www.google.com/maps/place/ECO+Mobile+Detailing/data=!4m7!3m6!1s0x80c2bec…
2026-02-26 02:56:51,556 | GoogleMapsScraper    | INFO     |   [2/20] Extracting: https://www.google.com/maps/place/VI%27s+mobile+detailing/data=!4m7!3m6!1s0xa2be…
2026-02-26 02:57:00,780 | GoogleMapsScraper    | INFO     |   [3/20] Extracting: https://www.google.com/maps/place/ECO+Mobile+Detailing/data=!4m7!3m6!1s0x80c2bf7…
2026-02-26 02:57:11,556 | GoogleMapsScraper    | INFO     |   [4/20] Extracting: https://www.google.com/maps/place/Royal1+Mobile+Detailing+Los+Angeles/data=!4m7!…
2026-02-26 02:57:23,595 | GoogleMapsScraper    | INFO     |   [5/20] Extracting: https://www.google.com/maps/place/Naz+Mobile+Detailing+LA/data=!4m7!3m6!1s0x5765…
2026-02-26 02:57:35,992 | GoogleMapsScraper    | INFO     |   [6/20] Extracting: https://www.google.com/maps/place/Luxury+Mobile+Detail/data=!4m7!3m6!1s0x80c2b9c…
2026-02-26 02:57:48,059 | GoogleMapsScraper    | INFO     |   [7/20] Extracting: https://www.google.com/maps/place/Sam%27s+Steam+Auto+Detail/data=!4m7!3m6!1s0x80…
2026-02-26 02:57:59,847 | GoogleMapsScraper    | INFO     |   [8/20] Extracting: https://www.google.com/maps/place/JP+Mobile+Auto+Detailing/data=!4m7!3m6!1s0x80c…
2026-02-26 02:58:12,518 | GoogleMapsScraper    | INFO     |   [9/20] Extracting: https://www.google.com/maps/place/Ramirez+Mobile+Detailing+310/data=!4m7!3m6!1s0…
2026-02-26 02:58:21,531 | GoogleMapsScraper    | INFO     |   [10/20] Extracting: https://www.google.com/maps/place/Fahrio+Mobile+Detailing/data=!4m7!3m6!1s0x201f…
2026-02-26 02:59:14,066 | GoogleMapsScraper    | INFO     |   [11/20] Extracting: https://www.google.com/maps/place/Robert%27s+Automotive+Detailing+Los+Angeles/da…
2026-02-26 02:59:42,530 | GoogleMapsScraper    | INFO     |   [12/20] Extracting: https://www.google.com/maps/place/Pristine+Mobile+Car+Detailing/data=!4m7!3m6!1s…
2026-02-26 02:59:54,857 | GoogleMapsScraper    | INFO     |   [13/20] Extracting: https://www.google.com/maps/place/V+%26+D+Mobile+Car+Wash+%26+Detailing/data=!4m…
2026-02-26 03:00:14,270 | GoogleMapsScraper    | INFO     |   [14/20] Extracting: https://www.google.com/maps/place/Double+R+Mobile-+Detailing+,Ceramic+Coating,Po…
2026-02-26 03:00:28,484 | GoogleMapsScraper    | INFO     |   [15/20] Extracting: https://www.google.com/maps/place/Cali+luxury+detailing+%28Mobile+Service%29/dat…
2026-02-26 03:01:15,492 | GoogleMapsScraper    | INFO     |   [16/20] Extracting: https://www.google.com/maps/place/Rojas+Mobile+Car+Wash/data=!4m7!3m6!1s0x80c2b9…
2026-02-26 03:01:26,110 | GoogleMapsScraper    | INFO     |   [17/20] Extracting: https://www.google.com/maps/place/DJ+Auto+Detail/data=!4m7!3m6!1s0x80c2c7d1779dd…
2026-02-26 03:01:40,204 | GoogleMapsScraper    | INFO     |   [18/20] Extracting: https://www.google.com/maps/place/Pure+Intensions+mobile+car+wash+%26+detail/dat…
2026-02-26 03:01:50,376 | GoogleMapsScraper    | INFO     |   [19/20] Extracting: https://www.google.com/maps/place/ECO+Mobile+Detailing/data=!4m7!3m6!1s0x80c2b96…
2026-02-26 03:02:00,694 | GoogleMapsScraper    | INFO     |   [20/20] Extracting: https://www.google.com/maps/place/E.M.M+Mobile+Car+Wash+And+Detail/data=!4m7!3m6…
2026-02-26 03:02:13,169 | leadparser.main      | INFO     |   -> 20 raw leads for 'mobile car detailing'; running total: 70
2026-02-26 03:02:14,481 | scrapers.supplementary | INFO     | Enriching 0 leads missing phone numbers (out of 70 total)
2026-02-26 03:02:14,481 | leadparser.main      | INFO     | Filters applied: 70 -> 42 leads
2026-02-26 03:02:18,735 | leadparser.main      | INFO     | DB insert: 29 new, 13 dupes, 0 errors
2026-02-26 03:02:19,337 | leadparser.main      | INFO     | Total runtime: 955s
2026-02-26 03:02:19,338 | uc                   | INFO     | ensuring close
