2026-02-28 13:57:53,376 | GoogleMapsScraper    | INFO     |   [7/10] Extracting: https://www.google.com/maps/place/Helping+Hands+Mobile+Details/data=!4m7!3m6!1s0…
2026-02-28 13:57:57,964 | GoogleMapsScraper    | INFO     |   [8/10] Extracting: https://www.google.com/maps/place/Tic+Tac+Mobile+Wash+%26+Detailing/data=!4m7!3m…
2026-02-28 13:58:01,272 | GoogleMapsScraper    | INFO     |   [9/10] Extracting: https://www.google.com/maps/place/Shine+City+Auto+Detailing/data=!4m7!3m6!1s0xf2…
2026-02-28 13:58:07,314 | GoogleMapsScraper    | INFO     |   [10/10] Extracting: https://www.google.com/maps/place/Flawless+Detail/data=!4m7!3m6!1s0x864c2705eb5a…
2026-02-28 13:58:13,771 | leadparser.main      | INFO     |   -> 10 raw leads for 'mobile car detailing'; running total: 30
2026-02-28 13:58:14,756 | scrapers.supplementary | INFO     | Enriching 0 leads missing phone numbers (out of 30 total)
2026-02-28 13:58:14,756 | leadparser.main      | INFO     | Filters applied: 30 -> 0 leads
2026-02-28 13:58:14,756 | leadparser.main      | INFO     | DB insert: 0 new, 0 dupes, 0 errors
2026-02-28 13:58:14,765 | leadparser.main      | INFO     | CSV export: 29 leads -> data\leads_20260228_135814.csv
2026-02-28 13:58:14,768 | leadparser.main      | INFO     | Total runtime: 166s
2026-02-28 13:58:14,769 | uc                   | INFO     | ensuring close
