2026-03-08 03:05:49,316 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:05:49,316 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:05:49,316 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:05:49,316 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Edmonton, Alberta
2026-03-08 03:05:49,496 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Calgary, Alberta
2026-03-08 03:05:49,642 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Calgary; running total: 0
2026-03-08 03:05:49,642 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:05:49,642 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:05:49,642 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Calgary, Alberta
2026-03-08 03:05:52,953 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Vancouver, British Columbia
2026-03-08 03:05:53,004 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Edmonton, Alberta
2026-03-08 03:05:53,052 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Calgary, Alberta
2026-03-08 03:05:53,077 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Vancouver; running total: 0
2026-03-08 03:05:53,077 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Vancouver, British Columbia
2026-03-08 03:05:53,144 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Edmonton; running total: 0
2026-03-08 03:05:53,144 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Edmonton, Alberta
2026-03-08 03:05:53,185 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Calgary; running total: 0
2026-03-08 03:05:53,186 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Calgary, Alberta
2026-03-08 03:05:56,880 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Vancouver, British Columbia
2026-03-08 03:05:56,924 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Edmonton, Alberta
