2026-03-08 03:14:21,172 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:14:22,132 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:14:23,605 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:14:25,157 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:14:26,067 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:14:27,466 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:14:28,734 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:14:29,638 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:14:31,108 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:14:31,111 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:31,487 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:14:31,727 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/330)
2026-03-08 03:14:33,055 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/330)
2026-03-08 03:14:33,926 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/330)
2026-03-08 03:14:35,233 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/330)
2026-03-08 03:14:36,798 | XHRGoogleMapsScraper | INFO     |   'food shops': +0 (total: 0/330)
2026-03-08 03:14:37,905 | XHRGoogleMapsScraper | INFO     |   'cafes': +0 (total: 0/330)
2026-03-08 03:14:39,436 | XHRGoogleMapsScraper | INFO     |   'bistros': +0 (total: 0/330)
2026-03-08 03:14:40,744 | XHRGoogleMapsScraper | INFO     |   'takeout food': +0 (total: 0/330)
2026-03-08 03:14:41,643 | XHRGoogleMapsScraper | INFO     |   'local food spots': +0 (total: 0/330)
2026-03-08 03:14:42,781 | XHRGoogleMapsScraper | INFO     |   'places to eat': +0 (total: 0/330)
2026-03-08 03:14:43,828 | XHRGoogleMapsScraper | INFO     |   'local eats': +0 (total: 0/330)
2026-03-08 03:14:45,146 | XHRGoogleMapsScraper | INFO     |   'food near me': +0 (total: 0/330)
2026-03-08 03:14:46,207 | XHRGoogleMapsScraper | INFO     |   'dining near me': +0 (total: 0/330)
2026-03-08 03:14:47,094 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:47,095 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Edmonton; running total: 0
