2026-03-08 00:21:46,910 | GoogleMapsScraper    | INFO     |   [24/200] Extracting: https://www.google.com/maps/place/Marcos+Famous/data=!4m7!3m6!1s0x53a02234137d5f…
2026-03-08 00:21:59,433 | GoogleMapsScraper    | INFO     |   [25/200] Extracting: https://www.google.com/maps/place/Inasal+Grill+Avenue/data=!4m7!3m6!1s0x53a023c2…
2026-03-08 00:22:08,451 | GoogleMapsScraper    | INFO     |   [26/200] Extracting: https://www.google.com/maps/place/Homefire+Grill/data=!4m7!3m6!1s0x53a020efb4ec4…
2026-03-08 00:22:24,481 | GoogleMapsScraper    | INFO     |   [27/200] Extracting: https://www.google.com/maps/place/Refinery+Grill/data=!4m7!3m6!1s0x53a0211c216bb…
2026-03-08 00:22:36,524 | GoogleMapsScraper    | INFO     |   [28/200] Extracting: https://www.google.com/maps/place/Meat+The+Bun/data=!4m7!3m6!1s0x53a01d8a4ddf091…
2026-03-08 00:22:44,979 | GoogleMapsScraper    | INFO     |   [29/200] Extracting: https://www.google.com/maps/place/El+Jardin/data=!4m7!3m6!1s0x53a0232a34ab838d:0…
2026-03-08 00:23:00,257 | GoogleMapsScraper    | INFO     |   [30/200] Extracting: https://www.google.com/maps/place/Taste+Of+Persia+Restaurant/data=!4m7!3m6!1s0x5…
2026-03-08 00:23:10,856 | GoogleMapsScraper    | INFO     |   [31/200] Extracting: https://www.google.com/maps/place/Smoke%27s+Poutinerie+Edmonton/data=!4m7!3m6!1s…
2026-03-08 00:23:24,113 | GoogleMapsScraper    | INFO     |   [32/200] Extracting: https://www.google.com/maps/place/Mukja+K-street+food/data=!4m7!3m6!1s0x53a02219…
2026-03-08 00:23:33,405 | GoogleMapsScraper    | INFO     |   [33/200] Extracting: https://www.google.com/maps/place/The+Whiskey+Barn+-+Honky+Tonk+and+Smoke+BBQ/da…
2026-03-08 00:23:40,387 | GoogleMapsScraper    | INFO     |   [34/200] Extracting: https://www.google.com/maps/place/Ola%27s+Dining+Nigerian+Kitchen+%7B+NO+DINE+IN…
2026-03-08 00:23:47,010 | GoogleMapsScraper    | INFO     |   [35/200] Extracting: https://www.google.com/maps/place/Little+Village/data=!4m7!3m6!1s0x53a02174a4820…
2026-03-08 00:23:55,111 | GoogleMapsScraper    | INFO     |   [36/200] Extracting: https://www.google.com/maps/place/Vaticano+Cucina/data=!4m7!3m6!1s0x53a01f35ad03…
2026-03-08 00:24:04,253 | GoogleMapsScraper    | INFO     |   [37/200] Extracting: https://www.google.com/maps/place/Match+Eatery+%26+Public+House/data=!4m7!3m6!1s…
2026-03-08 00:24:11,722 | GoogleMapsScraper    | INFO     |   [38/200] Extracting: https://www.google.com/maps/place/Saz%C3%B3n+Venezuelan+food/data=!4m7!3m6!1s0x5…
2026-03-08 00:24:29,865 | GoogleMapsScraper    | INFO     |   [39/200] Extracting: https://www.google.com/maps/place/Highlevel+Diner/data=!4m7!3m6!1s0x53a022193cfc…
2026-03-08 00:24:38,583 | GoogleMapsScraper    | INFO     |   [40/200] Extracting: https://www.google.com/maps/place/The+Old+Spaghetti+Factory+%28Downtown+Edmonton…
