2026-03-08 03:13:50,810 | XHRGoogleMapsScraper | INFO     |   'auto body shops': +0 (total: 0/330)
2026-03-08 03:13:52,207 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:13:52,261 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:13:53,138 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:13:53,962 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:13:54,448 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:13:54,857 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:13:55,206 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:13:55,922 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:13:55,993 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:13:57,204 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:13:57,205 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Vancouver; running total: 0
2026-03-08 03:13:57,206 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:57,517 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:13:57,519 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Calgary; running total: 0
2026-03-08 03:13:57,519 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:57,558 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:13:57,810 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:13:57,877 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:13:58,119 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:13:59,178 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:13:59,426 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:14:00,142 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:14:00,839 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:14:01,528 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:14:01,535 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:14:02,979 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:14:03,035 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:14:04,034 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:14:04,287 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:14:05,072 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:14:05,434 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:14:06,245 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:14:06,304 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:14:07,469 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:14:07,942 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:14:08,635 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:14:09,042 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:14:09,352 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:14:10,140 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:14:10,432 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:14:11,426 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:14:11,845 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:14:12,644 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:14:13,052 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:14:13,799 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:14:13,875 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:14:14,891 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:14:15,447 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:14:16,460 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:14:16,659 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:14:17,373 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:14:18,246 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:14:18,921 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:14:20,002 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:14:20,142 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:14:21,210 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:14:21,484 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:14:22,478 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:14:22,627 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:14:23,386 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:14:23,886 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:14:24,564 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:14:25,495 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:14:26,312 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:14:26,801 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:14:27,097 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:14:27,748 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:14:28,199 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:14:28,867 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:14:29,235 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:14:30,142 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:14:30,330 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:14:31,139 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:31,284 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Calgary; running total: 0
2026-03-08 03:14:31,284 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:14:31,284 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:14:31,284 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:31,367 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:14:31,660 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:14:31,934 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/330)
2026-03-08 03:14:32,320 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:32,451 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Vancouver; running total: 0
2026-03-08 03:14:32,451 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:14:32,451 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
